Sat May  8 16:42:50 2021, 1620463370, 192.168.43.178, 218.201.36.32, 14033, 47873, ACKSYN, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 218.201.36.32, 192.168.43.178, 47873, 14033, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 218.201.36.32, 192.168.43.178, 47873, 14033, ACKPUSH, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 192.168.43.178, 183.232.231.172, 24201, 47873, ACKSYN, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 192.168.43.178, 183.232.231.172, 23689, 47873, ACKSYN, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 183.232.231.172, 192.168.43.178, 47873, 24201, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 183.232.231.172, 192.168.43.178, 47873, 23689, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 183.232.231.172, 192.168.43.178, 47873, 24201, ACKPUSH, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 183.232.231.172, 192.168.43.178, 47873, 23689, ACKPUSH, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 192.168.43.178, 218.201.36.32, 14033, 47873, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 192.168.43.178, 218.201.36.32, 14033, 47873, ACKPUSH, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 218.201.36.32, 192.168.43.178, 47873, 14033, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 218.201.36.32, 192.168.43.178, 47873, 14033, ACKPUSH, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 192.168.43.178, 183.232.231.172, 24201, 47873, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 192.168.43.178, 183.232.231.172, 23689, 47873, ACK, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 192.168.43.178, 183.232.231.172, 24201, 47873, ACKPUSH, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 192.168.43.178, 183.232.231.172, 24201, 47873, ACKPUSH, TCP, 4
Sat May  8 16:42:50 2021, 1620463370, 192.168.43.178, 183.232.231.172, 24201, 47873, ACKPUSH, TCP, 4
