Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 17889, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 31162, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 9095, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 12776, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 45975, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 5607, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 52699, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 8070, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 42981, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 29081, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 2480, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 3969, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 40906, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 59798, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 36737, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 65504, SYN, TCP, 4
Fri May  7 20:32:00 2021, 1620390720, 192.168.137.203, 192.168.43.178, 1293, 60882, SYN, TCP, 4
